image_link,nieuwe_image_link
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/1.jpg?v=1773085625,https://ernst-afk.github.io/images-channable/boxr/1.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/2.jpg?v=1773085640,https://ernst-afk.github.io/images-channable/boxr/2.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/9_3_offer.jpg?v=1779197364,https://ernst-afk.github.io/images-channable/boxr/9_3_offer.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Black.jpg?v=1781690461,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Black.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Blue.jpg?v=1781690461,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Blue.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Burgundy.jpg?v=1782748324,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Burgundy.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Gray.jpg?v=1782748324,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Gray.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Green.jpg?v=1782748324,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Green.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_MarinaBlue.jpg?v=1783088948,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_MarinaBlue.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Multicolor.jpg?v=1781690461,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Multicolor.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Orange.jpg?v=1782748327,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Orange.jpg
